LOCATION,TIME,Value
POL,1998,0.659706837
POL,1999,0.680547937
POL,2000,0.640776076
POL,2001,0.621586902
POL,2002,0.556749822
POL,2003,0.538061647
POL,2004,0.552497023
POL,2005,0.562779522
POL,2006,0.551021992
POL,2007,0.561933056
POL,2008,0.599437915
POL,2009,0.661059383
POL,2010,0.719925576
POL,2011,0.746634246
POL,2012,0.884103035
POL,2013,0.875908774
POL,2014,0.944821428
POL,2015,1.002752744
POL,2016,0.962872293
POL,2017,1.034181226
POL,2018,1.208914763
POL,2019,1.320636456
POL,2020,1.392049362
PRT,1982,0.269620888
PRT,1983,0.295727169
PRT,1984,0.306297256
PRT,1985,0.337375468
PRT,1986,0.342805046
PRT,1987,0.366667515
PRT,1988,0.368769899
PRT,1989,0.429422994
PRT,1990,0.463676318
PRT,1991,0.513568126
PRT,1992,0.55349702
PRT,1993,0.550867102
PRT,1994,0.532405195
PRT,1995,0.516730053
PRT,1996,0.5494979
PRT,1997,0.56374211
PRT,1998,0.624857542
PRT,1999,0.681207731
PRT,2000,0.721561686
PRT,2001,0.764818032
PRT,2002,0.721834883
PRT,2003,0.698018754
PRT,2004,0.729299234
PRT,2005,0.757547228
PRT,2006,0.954479504
PRT,2007,1.124170485
PRT,2008,1.443347158
PRT,2009,1.580011399
PRT,2010,1.535294716
PRT,2011,1.457413801
PRT,2012,1.378605993
PRT,2013,1.3246765
PRT,2014,1.289916954
PRT,2015,1.243297938
PRT,2016,1.280749327
PRT,2017,1.319283663
PRT,2018,1.349554852
PRT,2019,1.395624232
PRT,2020,1.617397875
SVK,1990,1.606492743
SVK,1991,2.065853386
SVK,1992,1.726586569
SVK,1993,1.332430032
SVK,1994,0.873630133
SVK,1995,0.902401452
SVK,1996,0.889626423
SVK,1997,1.051081702
SVK,1998,0.765412325
SVK,1999,0.644750786
SVK,2000,0.63806501
SVK,2001,0.624652336
SVK,2002,0.563139309
SVK,2003,0.561454564
SVK,2004,0.50069219
SVK,2005,0.493316228
SVK,2006,0.474880115
SVK,2007,0.447458203
SVK,2008,0.461374597
SVK,2009,0.472723062
SVK,2010,0.607907228
SVK,2011,0.655369948
SVK,2012,0.797735132
SVK,2013,0.823091473
SVK,2014,0.88002203
SVK,2015,1.160712865
SVK,2016,0.791015141
SVK,2017,0.886936984
SVK,2018,0.839703435
SVK,2019,0.825737121
SVK,2020,0.911092317
ESP,1981,0.388859372
ESP,1982,0.445834142
ESP,1983,0.43911103
ESP,1984,0.456125007
ESP,1985,0.505284171
ESP,1986,0.561630814
ESP,1987,0.585681212
ESP,1988,0.656558325
ESP,1989,0.691082062
ESP,1990,0.778618129
ESP,1991,0.799323644
ESP,1992,0.835898143
ESP,1993,0.834113621
ESP,1994,0.771256229
ESP,1995,0.770777394
ESP,1996,0.787532708
ESP,1997,0.777806549
ESP,1998,0.848035081
ESP,1999,0.838537038
ESP,2000,0.882762858
ESP,2001,0.888333692
ESP,2002,0.959711668
ESP,2003,1.023729785
ESP,2004,1.040886185
ESP,2005,1.099562628
ESP,2006,1.177022035
ESP,2007,1.240528758
ESP,2008,1.324997724
ESP,2009,1.363636217
ESP,2010,1.359963886
ESP,2011,1.333407404
ESP,2012,1.298770225
ESP,2013,1.275231392
ESP,2014,1.242131185
ESP,2015,1.222357297
ESP,2016,1.19047619
ESP,2017,1.210417724
ESP,2018,1.242126591
ESP,2019,1.251391261
ESP,2020,1.405412729
SWE,1981,2.028502428
SWE,1983,2.259066519
SWE,1985,2.54514808
SWE,1987,2.633075063
SWE,1989,2.581469819
SWE,1991,2.518089596
SWE,1993,2.956800629
SWE,1995,3.095439258
SWE,1997,3.273943922
SWE,1999,3.381317239
SWE,2001,3.873802777
SWE,2003,3.579477509
SWE,2004,3.361289014
SWE,2005,3.359575038
SWE,2006,3.474995723
SWE,2007,3.233825601
SWE,2008,3.469994751
SWE,2009,3.395280751
SWE,2010,3.167886778
SWE,2011,3.18701791
SWE,2012,3.230249051
SWE,2013,3.260416604
SWE,2014,3.10183759
SWE,2015,3.21903452
SWE,2016,3.247361117
SWE,2017,3.362785708
SWE,2018,3.321061258
SWE,2019,3.387582311
SWE,2020,3.527219927
CHE,1981,1.914739511
CHE,1983,1.929150969
CHE,1986,2.449136165
CHE,1989,2.433035466
CHE,1992,2.307361231
CHE,1996,2.373922753
CHE,2000,2.258801584
CHE,2004,2.597772428
CHE,2008,2.638836487
CHE,2012,2.850935191
CHE,2015,3.043109998
CHE,2017,3.034127035
CHE,2019,3.14685792
TUR,1990,0.235592737
TUR,1991,0.383626306
TUR,1992,0.355647186
TUR,1993,0.321446094
TUR,1994,0.262543743
TUR,1995,0.275956315
TUR,1996,0.327809494
TUR,1997,0.356915987
TUR,1998,0.36197543
TUR,1999,0.455568114
TUR,2000,0.465577217
TUR,2001,0.522469853
TUR,2002,0.509041405
TUR,2003,0.465315834
TUR,2004,0.497126591
TUR,2005,0.56380674
TUR,2006,0.552917544
TUR,2007,0.686164199
TUR,2008,0.687409957
TUR,2009,0.803624219
TUR,2010,0.793686043
TUR,2011,0.793930583
TUR,2012,0.825952221
TUR,2013,0.812059898
TUR,2014,0.856398637
TUR,2015,0.876893337
TUR,2016,0.938156932
TUR,2017,0.952721618
TUR,2018,1.025165993
TUR,2019,1.064288073
TUR,2020,1.088926054
GBR,1981,2.238511994
GBR,1983,2.062501354
GBR,1985,2.087601082
GBR,1986,2.101576609
GBR,1987,2.022304344
GBR,1988,1.961221175
GBR,1989,1.953886237
GBR,1990,1.947624794
GBR,1991,1.872320461
GBR,1992,1.839713168
GBR,1993,1.863581515
GBR,1994,1.836322256
GBR,1995,1.644753806
GBR,1996,1.573325461
GBR,1997,1.538613352
GBR,1998,1.548053227
GBR,1999,1.624676129
GBR,2000,1.612926718
GBR,2001,1.601193671
GBR,2002,1.615325421
GBR,2003,1.579251887
GBR,2004,1.530705816
GBR,2005,1.549037764
GBR,2006,1.571257149
GBR,2007,1.610133336
GBR,2008,1.603826672
GBR,2009,1.660989519
GBR,2010,1.635162
GBR,2011,1.639985169
GBR,2012,1.56888033
GBR,2013,1.610295819
GBR,2014,1.630967901
GBR,2015,1.634239556
GBR,2016,1.642813435
GBR,2017,1.659810514
GBR,2018,1.704941179
GBR,2019,1.707992301
USA,1981,2.268434258
USA,1982,2.427362119
USA,1983,2.48767523
USA,1984,2.547903886
USA,1985,2.655436322
USA,1986,2.632564768
USA,1987,2.608875784
USA,1988,2.562851661
USA,1989,2.521024589
USA,1990,2.555509231
USA,1991,2.620727769
USA,1992,2.543349986
USA,1993,2.422469523
USA,1994,2.327529054
USA,1995,2.409463873
USA,1996,2.450008182
USA,1997,2.479830947
USA,1998,2.504011722
USA,1999,2.549513185
USA,2000,2.629150932
USA,2001,2.648269517
USA,2002,2.560968379
USA,2003,2.56494813
USA,2004,2.501719707
USA,2005,2.516473982
USA,2006,2.557459935
USA,2007,2.627539099
USA,2008,2.757222782
USA,2009,2.807039089
USA,2010,2.725056931
USA,2011,2.755124431
USA,2012,2.672264068
USA,2013,2.702147502
USA,2014,2.717859421
USA,2015,2.786995271
USA,2016,2.853452663
USA,2017,2.905138359
USA,2018,3.013203142
USA,2019,3.175077302
USA,2020,3.450180738
ARG,1996,0.373436483
ARG,1997,0.375309984
ARG,1998,0.367874966
ARG,1999,0.405491517
ARG,2000,0.392498718
ARG,2001,0.37976706
ARG,2002,0.347796478
ARG,2003,0.366816404
ARG,2004,0.403759771
ARG,2005,0.42074496
ARG,2006,0.452155425
ARG,2007,0.46006591
ARG,2008,0.470544809
ARG,2009,0.58705209
ARG,2010,0.564050123
ARG,2011,0.569338199
ARG,2012,0.638878111
ARG,2013,0.622336145
ARG,2014,0.592492534
ARG,2015,0.618540979
ARG,2016,0.530192017
ARG,2017,0.556314999
ARG,2018,0.501220517
ARG,2019,0.464695218
CHL,2007,0.309565375
CHL,2008,0.374967889
CHL,2009,0.352021253
CHL,2010,0.329474896
CHL,2011,0.351442057
CHL,2012,0.362204702
CHL,2013,0.388699662
CHL,2014,0.375034342
CHL,2015,0.380727106
CHL,2016,0.369342945
CHL,2017,0.35592638
CHL,2018,0.366472709
CHL,2019,0.340954529
CHN,1991,0.72463373
CHN,1992,0.728198717
CHN,1993,0.69522779
CHN,1994,0.629678746
CHN,1995,0.568455443
CHN,1996,0.563235933
CHN,1997,0.638725459
CHN,1998,0.646888627
CHN,1999,0.749632306
CHN,2000,0.89316325
CHN,2001,0.940330913
CHN,2002,1.057860257
CHN,2003,1.120366462
CHN,2004,1.214982433
CHN,2005,1.307915592
CHN,2006,1.368536788
CHN,2007,1.373694104
CHN,2008,1.445920088
CHN,2009,1.664795447
CHN,2010,1.713721488
CHN,2011,1.780343022
CHN,2012,1.912141
CHN,2013,1.99786394
CHN,2014,2.02243256
CHN,2015,2.05701037
CHN,2016,2.10032842
CHN,2017,2.116029774
CHN,2018,2.140578042
CHN,2019,2.234772159
CHN,2020,2.400929967
EST,1998,0.565004959
EST,1999,0.677071055
EST,2000,0.600007212
EST,2001,0.698381849
EST,2002,0.711618207
EST,2003,0.764649332
EST,2004,0.845837946
EST,2005,0.917042448
EST,2006,1.112772341
EST,2007,1.05874252
EST,2008,1.251883515
EST,2009,1.396796722
EST,2010,1.578983651
EST,2011,2.305215
EST,2012,2.124805798
EST,2013,1.724119915
EST,2014,1.430231283
EST,2015,1.467765455
EST,2016,1.243061988
EST,2017,1.276852075
EST,2018,1.416238992
EST,2019,1.633366707
EST,2020,1.792467261
ISR,1991,2.213540876
ISR,1992,2.270610281
ISR,1993,2.369231641
ISR,1994,2.420602174
ISR,1995,2.428139926
ISR,1996,2.586209032
ISR,1997,2.805871336
ISR,1998,2.917300883
ISR,1999,3.32852811
ISR,2000,3.929943321
ISR,2001,4.183080004
ISR,2002,4.129837193
ISR,2003,3.890577421
ISR,2004,3.870759345
ISR,2005,4.044555749
ISR,2006,4.137985221
ISR,2007,4.417344928
ISR,2008,4.330119342
ISR,2009,4.123291479
ISR,2010,3.924362634
ISR,2011,4.002691016
ISR,2012,4.141548386
ISR,2013,4.074782526
ISR,2014,4.155363115
ISR,2015,4.261484284
ISR,2016,4.510863207
ISR,2017,4.656755384
ISR,2018,4.796615551
ISR,2019,5.13983103
ISR,2020,5.435621208
ROU,1991,0.743700325
ROU,1992,0.804157722
ROU,1993,0.866368342
ROU,1994,0.734072082
ROU,1995,0.758347568
ROU,1996,0.674718336
ROU,1997,0.57450912
ROU,1998,0.495407442
ROU,1999,0.398322764
ROU,2000,0.366258496
ROU,2001,0.391291781
ROU,2002,0.377211822
ROU,2003,0.397079059
ROU,2004,0.389422706
ROU,2005,0.412623635
ROU,2006,0.456818218
ROU,2007,0.511482387
ROU,2008,0.552150603
ROU,2009,0.443950247
ROU,2010,0.456651047
ROU,2011,0.498636672
ROU,2012,0.48542284
ROU,2013,0.388173841
ROU,2014,0.381610679
ROU,2015,0.48838137
ROU,2016,0.481258426
ROU,2017,0.503218165
ROU,2018,0.501117648
ROU,2019,0.478324864
ROU,2020,0.468827145
RUS,1989,1.773550861
RUS,1990,1.892051874
RUS,1991,1.332246153
RUS,1992,0.689430745
RUS,1993,0.715774081
RUS,1994,0.785291242
RUS,1995,0.792651714
RUS,1996,0.900225934
RUS,1997,0.972755301
RUS,1998,0.888960048
RUS,1999,0.928479408
RUS,2000,0.978436685
RUS,2001,1.096900331
RUS,2002,1.161744853
RUS,2003,1.197321175
RUS,2004,1.071913208
RUS,2005,0.994296832
RUS,2006,0.998925868
RUS,2007,1.039122831
RUS,2008,0.97230527
RUS,2009,1.165557789
RUS,2010,1.052232846
RUS,2011,1.015448468
RUS,2012,1.027656902
RUS,2013,1.027321227
RUS,2014,1.072411198
RUS,2015,1.100852282
RUS,2016,1.102380719
RUS,2017,1.109666157
RUS,2018,0.990016613
RUS,2019,1.038786836
RUS,2020,1.098029538
SGP,1994,1.043912598
SGP,1995,1.097962211
SGP,1996,1.319912327
SGP,1997,1.415644902
SGP,1998,1.737070387
SGP,1999,1.816242457
SGP,2000,1.816987498
SGP,2001,2.009303505
SGP,2002,2.032817516
SGP,2003,1.996791637
SGP,2004,2.078592626
SGP,2005,2.148056393
SGP,2006,2.116563092
SGP,2007,2.319859067
SGP,2008,2.596735947
SGP,2009,2.127902633
SGP,2010,1.929181623
SGP,2011,2.069548755
SGP,2012,1.918334032
SGP,2013,1.921039374
SGP,2014,2.082281922
SGP,2015,2.174449945
SGP,2016,2.074713163
SGP,2017,1.898722483
SGP,2018,1.813907804
SGP,2019,1.890639385
SVN,1993,1.531333152
SVN,1994,1.682805485
SVN,1995,1.487793088
SVN,1996,1.264730707
SVN,1997,1.246431366
SVN,1998,1.305146375
SVN,1999,1.336877686
SVN,2000,1.359816613
SVN,2001,1.467670057
SVN,2002,1.443247516
SVN,2003,1.247916446
SVN,2004,1.370263966
SVN,2005,1.417775545
SVN,2006,1.537052303
SVN,2007,1.427033587
SVN,2008,1.626731841
SVN,2009,1.811841184
SVN,2010,2.051325096
SVN,2011,2.412971178
SVN,2012,2.560613009
SVN,2013,2.564868238
SVN,2014,2.3654796
SVN,2015,2.19564741
SVN,2016,2.00763704
SVN,2017,1.86530114
SVN,2018,1.946448291
SVN,2019,2.047036302
SVN,2020,2.147346482
ZAF,1983,0.790632342
ZAF,1985,0.818678631
ZAF,1987,0.737501158
ZAF,1989,0.683413309
ZAF,1991,0.814036015
ZAF,1993,0.591272409
ZAF,1997,0.583544417
ZAF,2001,0.715781011
ZAF,2003,0.760511252
ZAF,2004,0.813341049
ZAF,2005,0.863151104
ZAF,2006,0.89814994
ZAF,2007,0.882865198
ZAF,2008,0.888158989
ZAF,2009,0.835621015
ZAF,2010,0.737035791
ZAF,2011,0.734513757
ZAF,2012,0.733629558
ZAF,2013,0.724879656
ZAF,2014,0.771150624
ZAF,2015,0.798459349
ZAF,2016,0.818822569
ZAF,2017,0.832146409
TWN,1995,1.691651806
TWN,1996,1.717714794
TWN,1997,1.795730114
TWN,1998,1.883935488
TWN,1999,1.943193273
TWN,2000,1.913441501
TWN,2001,2.025549178
TWN,2002,2.111092249
TWN,2003,2.223921209
TWN,2004,2.270311998
TWN,2005,2.334368224
TWN,2006,2.44211627
TWN,2007,2.482963782
TWN,2008,2.672309313
TWN,2009,2.841087996
TWN,2010,2.815572963
TWN,2011,2.912290558
TWN,2012,2.956832053
TWN,2013,3.002038415
TWN,2014,2.98031505
TWN,2015,2.99980018
TWN,2016,3.086007654
TWN,2017,3.194630929
TWN,2018,3.352300744
TWN,2019,3.488764009
TWN,2020,3.636459829
OECD,1991,2.018770025
OECD,1992,1.982362398
OECD,1993,1.93525271
OECD,1994,1.889165971
OECD,1995,1.919715445
OECD,1996,1.944303311
OECD,1997,1.965639604
OECD,1998,1.997173695
OECD,1999,2.041218408
OECD,2000,2.084849303
OECD,2001,2.121197955
OECD,2002,2.098451102
OECD,2003,2.102550865
OECD,2004,2.074723905
OECD,2005,2.104413797
OECD,2006,2.131372438
OECD,2007,2.173963059
OECD,2008,2.239925929
OECD,2009,2.285491511
OECD,2010,2.245494092
OECD,2011,2.274394556
OECD,2012,2.267108366
OECD,2013,2.29277012
OECD,2014,2.315437121
OECD,2015,2.327828064
OECD,2016,2.326570498
OECD,2017,2.367468902
OECD,2018,2.438051328
OECD,2019,2.514988806
OECD,2020,2.680949482
LVA,1995,0.431489182
LVA,1996,0.396879248
LVA,1997,0.366266838
LVA,1998,0.379217096
LVA,1999,0.351825199
LVA,2000,0.434827742
LVA,2001,0.402618563
LVA,2002,0.408427424
LVA,2003,0.359293186
LVA,2004,0.398393291
LVA,2005,0.527072348
LVA,2006,0.646911255
LVA,2007,0.551065908
LVA,2008,0.577202484
LVA,2009,0.448578758
LVA,2010,0.605712191
LVA,2011,0.715617512
LVA,2012,0.663065513
LVA,2013,0.613213498
LVA,2014,0.689077137
LVA,2015,0.619401024
LVA,2016,0.435136929
LVA,2017,0.511035381
LVA,2018,0.638687095
LVA,2019,0.636925591
LVA,2020,0.707377355
LTU,1995,0.428852999
LTU,1996,0.491702869
LTU,1997,0.536671791
LTU,1998,0.543805509
LTU,1999,0.502062051
LTU,2000,0.585531721
LTU,2001,0.667615892
LTU,2002,0.657551312
LTU,2003,0.664126274
LTU,2004,0.751402248
LTU,2005,0.748210573
LTU,2006,0.792041311
LTU,2007,0.801738112
LTU,2008,0.7893156
LTU,2009,0.830839422
LTU,2010,0.783303507
LTU,2011,0.902693362
LTU,2012,0.893042643
LTU,2013,0.948716776
LTU,2014,1.030107976
LTU,2015,1.043413346
LTU,2016,0.84240977
LTU,2017,0.896261084
LTU,2018,0.93663154
LTU,2019,0.994677218
LTU,2020,1.155281937
COL,2000,0.140081247
COL,2001,0.141036073
COL,2002,0.16390567
COL,2003,0.179071814
COL,2004,0.173721659
COL,2005,0.165566684
COL,2006,0.164266293
COL,2007,0.183066503
COL,2008,0.195410507
COL,2009,0.193505311
COL,2010,0.193579082
COL,2011,0.198419817
COL,2012,0.221158538
COL,2013,0.257607233
COL,2014,0.303173607
COL,2015,0.36542298
COL,2016,0.270510535
COL,2017,0.261087768
COL,2018,0.312330762
COL,2019,0.321693074
COL,2020,0.28811814
EU27_2020,1991,1.646047338
EU27_2020,1992,1.628441936
EU27_2020,1993,1.616963844
EU27_2020,1994,1.572593315
EU27_2020,1995,1.5638115
EU27_2020,1996,1.574820328
EU27_2020,1997,1.589703925
EU27_2020,1998,1.59807427
EU27_2020,1999,1.648045636
EU27_2020,2000,1.675563944
EU27_2020,2001,1.698713057
EU27_2020,2002,1.709006129
EU27_2020,2003,1.702976871
EU27_2020,2004,1.681158271
EU27_2020,2005,1.680398952
EU27_2020,2006,1.701863419
EU27_2020,2007,1.703448355
EU27_2020,2008,1.778832231
EU27_2020,2009,1.857887505
EU27_2020,2010,1.861911369
EU27_2020,2011,1.906896703
EU27_2020,2012,1.961102273
EU27_2020,2013,1.976458459
EU27_2020,2014,2.00090853
EU27_2020,2015,2.004072926
EU27_2020,2016,1.991883783
EU27_2020,2017,2.030300075
EU27_2020,2018,2.074024808
EU27_2020,2019,2.109543831
EU27_2020,2020,2.204172845
